Date,Adj Close,Close,High,Low,Open,Volume
2023-07-14,6.920000076293945,6.920000076293945,6.949999809265137,6.849999904632568,6.909999847412109,34700
2023-07-17,6.909999847412109,6.909999847412109,6.96999979019165,6.900000095367432,6.949999809265137,12300
2023-07-18,6.909999847412109,6.909999847412109,6.949999809265137,6.849999904632568,6.900000095367432,63400
2023-07-19,6.920000076293945,6.920000076293945,6.929999828338623,6.869999885559082,6.880000114440918,28800
2023-07-20,6.940000057220459,6.940000057220459,6.960000038146973,6.869999885559082,6.900000095367432,20000
2023-07-21,6.96999979019165,6.96999979019165,6.989999771118164,6.940000057220459,6.989999771118164,28800
2023-07-24,6.940000057220459,6.940000057220459,6.96999979019165,6.920000076293945,6.940000057220459,27900
2023-07-25,6.96999979019165,6.96999979019165,7.0,6.920000076293945,6.920000076293945,23200
2023-07-26,6.989999771118164,6.989999771118164,7.010000228881836,6.960000038146973,6.989999771118164,10700
2023-07-27,6.909999847412109,6.909999847412109,7.03000020980835,6.909999847412109,6.960000038146973,27700
2023-07-28,6.960000038146973,6.960000038146973,7.0,6.900000095367432,6.909999847412109,32700
2023-07-31,7.0,7.0,7.0,6.940000057220459,6.989999771118164,33600
2023-08-01,6.989999771118164,6.989999771118164,7.059999942779541,6.949999809265137,6.949999809265137,35700
2023-08-02,6.940000057220459,6.940000057220459,7.010000228881836,6.929999828338623,7.010000228881836,35100
2023-08-03,6.860000133514404,6.860000133514404,6.960000038146973,6.860000133514404,6.949999809265137,20600
2023-08-04,6.869999885559082,6.869999885559082,6.920000076293945,6.860000133514404,6.880000114440918,28600
2023-08-07,6.860000133514404,6.860000133514404,6.920000076293945,6.849999904632568,6.869999885559082,22200
2023-08-08,6.860000133514404,6.860000133514404,6.900000095367432,6.820000171661377,6.820000171661377,28900
2023-08-09,6.909999847412109,6.909999847412109,6.960000038146973,6.860000133514404,6.860000133514404,42700
2023-08-10,6.920000076293945,6.920000076293945,6.96999979019165,6.880000114440918,6.960000038146973,13200
2023-08-11,6.920000076293945,6.920000076293945,6.929999828338623,6.889999866485596,6.900000095367432,25100
2023-08-14,6.920000076293945,6.920000076293945,6.960000038146973,6.849999904632568,6.900000095367432,26000
2023-08-15,6.860000133514404,6.860000133514404,6.920000076293945,6.760000228881836,6.880000114440918,34300
