Date,Adj Close,Close,High,Low,Open,Volume
2023-07-14,409.5,409.5,413.8500061035156,407.8500061035156,410.8399963378906,589400
2023-07-17,411.6700134277344,411.6700134277344,412.8699951171875,408.07000732421875,409.8500061035156,587800
2023-07-18,410.6400146484375,410.6400146484375,414.80999755859375,409.8399963378906,412.5199890136719,423000
2023-07-19,410.989990234375,410.989990234375,411.55999755859375,403.4800109863281,408.7900085449219,757300
2023-07-20,418.7699890136719,418.7699890136719,420.510009765625,412.70001220703125,414.6400146484375,569000
2023-07-21,414.25,414.25,419.82000732421875,414.0299987792969,418.79998779296875,546600
2023-07-24,413.17999267578125,413.17999267578125,417.1499938964844,412.0199890136719,414.19000244140625,415000
2023-07-25,411.2699890136719,411.2699890136719,412.3999938964844,409.2099914550781,410.9700012207031,703400
2023-07-26,403.7900085449219,403.7900085449219,411.5400085449219,403.260009765625,409.2099914550781,1026400
2023-07-27,405.510009765625,405.510009765625,408.1499938964844,400.6300048828125,403.0,1065900
2023-07-28,402.8900146484375,402.8900146484375,407.6000061035156,401.4200134277344,406.2099914550781,806400
2023-07-31,402.3999938964844,402.3999938964844,404.1199951171875,395.29998779296875,404.1199951171875,1122500
2023-08-01,405.0199890136719,405.0199890136719,406.8999938964844,401.54998779296875,402.5,868200
2023-08-02,413.07000732421875,413.07000732421875,414.45001220703125,405.3299865722656,406.9200134277344,1431700
2023-08-03,435.1199951171875,435.1199951171875,435.5,422.1400146484375,422.6000061035156,2012700
2023-08-04,421.7699890136719,421.7699890136719,437.739990234375,421.5899963378906,434.2699890136719,1488700
2023-08-07,422.2300109863281,422.2300109863281,427.8900146484375,421.25,423.0400085449219,686700
2023-08-08,427.7300109863281,427.7300109863281,432.6300048828125,423.92999267578125,424.8900146484375,945900
2023-08-09,428.3399963378906,428.3399963378906,433.3399963378906,425.6000061035156,427.7099914550781,617700
2023-08-10,433.989990234375,433.989990234375,435.6000061035156,428.25,428.25,1008200
2023-08-11,440.05999755859375,440.05999755859375,441.0,434.6199951171875,435.8399963378906,666600
2023-08-14,438.0,438.0,440.6400146484375,435.30999755859375,439.9599914550781,829800
2023-08-15,430.9100036621094,430.9100036621094,439.5299987792969,430.6700134277344,439.0299987792969,625100
2023-08-16,429.6199951171875,429.6199951171875,433.70001220703125,428.6400146484375,431.7099914550781,634300
2023-08-17,416.95001220703125,416.95001220703125,422.1499938964844,414.3500061035156,421.9100036621094,1179000
2023-08-18,420.42999267578125,420.42999267578125,422.0400085449219,413.5299987792969,415.6199951171875,833300
2023-08-21,425.8500061035156,425.8500061035156,427.6000061035156,419.0199890136719,420.0,863100
2023-08-22,418.3900146484375,418.3900146484375,426.6499938964844,417.8999938964844,424.8399963378906,590200
2023-08-23,421.2900085449219,421.2900085449219,422.739990234375,418.489990234375,419.30999755859375,594600
2023-08-24,423.3500061035156,423.3500061035156,425.67999267578125,421.0799865722656,421.0799865722656,529100
2023-08-25,423.29998779296875,423.29998779296875,426.0,421.94000244140625,424.7799987792969,578300
2023-08-28,423.3999938964844,423.3999938964844,425.1300048828125,421.8900146484375,423.42999267578125,1082800
2023-08-29,421.67999267578125,421.67999267578125,424.54998779296875,419.989990234375,423.80999755859375,631400
2023-08-30,421.6000061035156,421.6000061035156,424.6099853515625,419.9599914550781,423.6600036621094,606800
2023-08-31,412.32000732421875,412.32000732421875,423.2200012207031,412.25,420.69000244140625,873100
2023-09-01,412.3399963378906,412.3399963378906,417.05999755859375,411.5299987792969,413.2900085449219,543700
2023-09-05,407.1300048828125,407.1300048828125,411.489990234375,404.7200012207031,411.489990234375,751600
2023-09-06,411.25,411.25,412.7699890136719,405.5,407.0,818800
2023-09-07,418.6199951171875,418.6199951171875,421.80999755859375,412.6400146484375,414.5899963378906,742500
2023-09-08,420.7799987792969,420.7799987792969,425.489990234375,418.07000732421875,418.3599853515625,869700
2023-09-11,423.8999938964844,423.8999938964844,426.8299865722656,420.04998779296875,420.739990234375,541900
2023-09-12,422.1000061035156,422.1000061035156,424.80999755859375,419.95001220703125,423.0,515700
2023-09-13,420.4800109863281,420.4800109863281,426.010009765625,420.0,423.2099914550781,416400
2023-09-14,419.6000061035156,419.6000061035156,422.7200012207031,417.6499938964844,420.4800109863281,453200
2023-09-15,420.1300048828125,420.1300048828125,422.7699890136719,418.0299987792969,418.0299987792969,1132200
2023-09-18,427.2900085449219,427.2900085449219,428.0,422.1499938964844,422.1499938964844,553600
2023-09-19,432.07000732421875,432.07000732421875,432.8599853515625,428.5,430.32000732421875,677600
2023-09-20,439.8599853515625,439.8599853515625,444.79998779296875,434.0,434.0,1037700
2023-09-21,438.239990234375,438.239990234375,442.2200012207031,437.8800048828125,439.8299865722656,840300
2023-09-22,438.6600036621094,438.6600036621094,441.2099914550781,435.9100036621094,437.0199890136719,961500
2023-09-25,446.4200134277344,446.4200134277344,446.95001220703125,439.6000061035156,439.6600036621094,999000
2023-09-26,443.0299987792969,443.0299987792969,446.8699951171875,440.6600036621094,445.8500061035156,816600
2023-09-27,444.3800048828125,444.3800048828125,446.3900146484375,439.8999938964844,443.04998779296875,954200
2023-09-28,442.0400085449219,442.0400085449219,446.3900146484375,441.9599914550781,444.5,694600
2023-09-29,434.8500061035156,434.8500061035156,441.9700012207031,434.57000732421875,440.4100036621094,682100
2023-10-02,437.4200134277344,437.4200134277344,439.2099914550781,433.1000061035156,433.54998779296875,492000
