pair,score
AISP / AULT,2047.3524230807168
AULT / AISP,2047.3524230807168
WTO / SBFM,1995.6492140597088
FET-USD / AXL17799-USD,1323.6544620746736
AXL17799-USD / FET-USD,1323.6544620746736
FET-USD / USDT-USD,1316.3736653918345
JCSE / NIVF,1619.0444459111936
NIVF / JCSE,1619.0444459111936
JCSE / AIH,1577.8089527700702
WW / VS,1523.4762600655454
VS / WW,1523.4762600655454
LVTX / WW,1491.4907714652054
TGL / PCSA,2287.1649974124075
PCSA / TGL,2287.1649974124075
ZCAR / PCSA,2179.47383533267
MNTS / DNTH,3382.6757226778445
DNTH / MNTS,3382.6757226778445
RNAZ / DNTH,3305.7744699224304
ADTX / NUKK,2316.724128232301
NUKK / ADTX,2316.724128232301
ADTX / NITO,2166.7960169911353
SGMO / WNW,1850.388533561165
WNW / SGMO,1850.388533561165
PEV / WNW,1836.5106975573267
YYAI / GXAI,2664.6563489085793
GXAI / YYAI,2664.6563489085793
YYAI / ABT-USD,2662.19467310874
ORGS / RCRT,1842.8156531426903
RCRT / ORGS,1842.8156531426903
ORGS / IMNN,1696.183624023678
SKYE / SWIN,2377.266154104574
SWIN / SKYE,2377.266154104574
HLTH / SKYE,2131.9795748956167
YTEN / AVGR,1985.470731232757
AVGR / YTEN,1985.470731232757
YTEN / CPHI,1775.5460292300847
DXF / DATSW,3969.2394620518126
DATSW / DXF,3969.2394620518126
NKTX / DATSW,3941.687511680344
ORBR-USD / METIS-USD,2230.410800453104
METIS-USD / ORBR-USD,2230.410800453104
ORBR-USD / CGC,2048.0355677978296
CYTO / CNTB,2251.464429696649
CNTB / CYTO,2251.464429696649
MFH / CYTO,2249.552109043056
GRYP / HSCS,1901.529602192476
HSCS / GRYP,1901.529602192476
GRYP / VRM,1806.8926476171443
BSGM / STI,2374.9775140676647
STI / BSGM,2374.9775140676647
VINC / STI,2256.5950217755426
WISA / FGEN,2227.399099695738
FGEN / WISA,2227.399099695738
WISA / CDLX,1951.7360135353256
NXL / IONM,2155.3146299213313
IONM / NXL,2155.3146299213313
NXL / MDAI,1971.3487518046113
BETR / TENX,2237.2279269820733
TENX / BETR,2237.2279269820733
BETR / LITM,1980.1136748191516
ONMD / NXTT,2177.7045672775266
NXTT / ONMD,2177.7045672775266
ONMD / GDHG,2000.7578310936276
QLI / BCAB,1626.8228303875803
BCAB / QLI,1626.8228303875803
PLCE / QLI,1465.7096557234702
JAN / SMX,2336.3109961069813
SMX / JAN,2336.3109961069813
CISS / SMX,2210.266224743307
GRTS / SMCI,1390.663406709482
SMCI / GRTS,1390.663406709482
SATL / GRTS,1385.851523247772
APM / STBX,2302.8016711985083
STBX / APM,2302.8016711985083
MRIN / APM,2180.1742137908404
TWT-USD / SEI-USD,1617.4337677106923
SEI-USD / TWT-USD,1617.4337677106923
TFFP / SEI-USD,1588.461464080889
NVVE / HUDAR,1830.025973763603
HUDAR / NVVE,1830.025973763603
RNDR-USD / NVVE,1554.7395926884683
EYPT / BMR,2075.829020657729
BMR / EYPT,2075.829020657729
SELX / BMR,2055.2052399376607
HUBC / FRES,2475.827214563413
FRES / HUBC,2475.827214563413
HUBC / PRSO,2396.9284319494145
XBIOW / MDXH,2869.5522697609817
MDXH / XBIOW,2869.5522697609817
AGRI / XBIOW,2513.524422820505
VVOS / MYPSW,3052.18091904875
MYPSW / VVOS,3052.18091904875
VVOS / RVSN,2966.964960778642
CLVRW / BACK,2832.6198804568953
BACK / CLVRW,2832.6198804568953
XRTX / CLVRW,2795.8867397589984
OCEA / WALDW,2169.5908337429028
WALDW / OCEA,2169.5908337429028
WALDW / TCON,2041.6503461621478
WHLR / RNLX,2443.44634361111
RNLX / WHLR,2443.44634361111
NBSE / WHLR,2266.8046935508596
EFSH / ATRA,2065.54992389759
ATRA / EFSH,2065.54992389759
EFSH / VINE,1971.751596803107
AUVIP / PHUN,2499.168461396872
PHUN / AUVIP,2499.168461396872
PHUN / BPTH,2347.4664891457246
NVOS / BGLC,3359.3053919460885
BGLC / NVOS,3359.3053919460885
BGLC / CAPT,3179.7153986676103
HKIT / OAKUR,2564.9912863881864
OAKUR / HKIT,2564.9912863881864
AREN / HKIT,2281.278713574374
SWVL / PIXY,2501.9333674176155
PIXY / SWVL,2501.9333674176155
BRFH / PIXY,2178.264609708304
SLNHP / AWIN,1955.9196713972788
AWIN / SLNHP,1955.9196713972788
AWIN / PROP,1919.9199524682945
DJT / SHCRW,3444.452466376766
SHCRW / DJT,3444.452466376766
LASE / SHCRW,3331.8805628762248
WIF-USD / LTRY,2291.9247782193834
LTRY / WIF-USD,2291.9247782193834
CNSP / WIF-USD,2231.0306631020376
NLSPW / VIGL,3306.0177668826595
VIGL / NLSPW,3306.0177668826595
NLSPW / SVRE,3255.394644343978
WAVD / TCRT,2388.7122306133815
TCRT / WAVD,2388.7122306133815
WAVD / ANY,2158.532222738621
TPET / XXII,2162.650233760503
XXII / TPET,2162.650233760503
TPHS / TPET,2096.164812463315
BRSH / SPRC,2531.185158059259
SPRC / BRSH,2531.185158059259
BRSH / SNTG,2182.396354927124
MDJH / CATX,1404.2030408096775
CATX / MDJH,1404.2030408096775
LWAY / CATX,1388.8135285267108
ICU / AGBA,2161.9009416798626
AGBA / ICU,2161.9009416798626
ICU / PRAX,1979.4115520627902
MKR-USD / BABYDOGE-USD,inf
BABYDOGE-USD / MKR-USD,inf
BABYDOGE-USD / RETH-USD,inf
VERB / ESLA,2468.8547882458643
ESLA / VERB,2468.8547882458643
ESLA / EZGO,2210.0830714249155
NUWE / LXEH,2024.0948436728172
LXEH / NUWE,2024.0948436728172
FOXO / LXEH,1888.3520030428772
BOME-USD / AERO29270-USD,1462.770437739852
AERO29270-USD / BOME-USD,1462.770437739852
STEM / HSDT,1401.702053432729
STETH-USD / PAAL-USD,6372.151610985407
PAAL-USD / STETH-USD,6372.151610985407
KORE / PAAL-USD,5895.805409343142
MKTW / BTT-USD,inf
DHCNI / BTT-USD,inf
BSV-USD / BTT-USD,inf
NCPL / NVFY,1633.202464824785
NVFY / NCPL,1633.202464824785
GLT / NVFY,1614.8571849225032
IFBD / ARBK,2367.6281955086233
ARBK / IFBD,2367.6281955086233
IFBD / SLNH,2358.860940164407
ALGT / BONK-USD,inf
SBLK / BONK-USD,inf
FBIN / BONK-USD,inf
ZETA-USD / CXAI,2786144.9542194083
CXAI / ZETA-USD,2786144.9542194083
ZETA-USD / INTS,2786088.1387321856
REBN / DRCT,1935.2187645116887
DRCT / REBN,1935.2187645116887
CETY / DRCT,1869.4919068217491
AMBO / KTRA,1876.6572290512581
KTRA / AMBO,1876.6572290512581
THTX / KTRA,1804.032867367559
AIOZ-USD / OM-USD,2462.1703603686956
OM-USD / AIOZ-USD,2462.1703603686956
AIOZ-USD / ADA-USD,1757.8610724307077
ASST / AFIB,2068.6562621519515
AFIB / ASST,2068.6562621519515
ASST / CETX,1898.3758197672478
RDHL / APLT,2021.2331625196782
APLT / RDHL,2021.2331625196782
RDHL / BBLG,1935.4044123388724
RVYL / BBLGW,2806.4888106213457
BBLGW / RVYL,2806.4888106213457
YGG-USD / BBLGW,2754.1711756950644
FBIO / JTAI,2016.4609066963924
JTAI / FBIO,2016.4609066963924
IVP / JTAI,2016.2441849089869
NTRBW / VTGN,3314.8833256535836
VTGN / NTRBW,3314.8833256535836
NTRBW / SLNO,3024.6957925581733
UPC / BREA,2131.5468921337906
